epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97248,1.54904,3.83998,1.28998,0.01188,0.47423,0.06745,0.03725,1.46351,3.70312,1.1597,0.00024543,0.00024543,0.00024543
2,17.9313,1.60586,2.6057,1.26656,0.57414,0.06348,0.22747,0.12653,1.56973,3.07472,1.25269,0.000480152,0.000480152,0.000480152
3,24.1594,1.56708,2.20509,1.25595,0.36257,0.26594,0.27325,0.1484,1.64241,2.65419,1.29185,0.000694716,0.000694716,0.000694716
4,30.6112,1.59,2.03232,1.27259,0.38289,0.35177,0.33952,0.18193,1.67142,2.41613,1.35886,0.000801011,0.000801011,0.000801011
5,36.8139,1.55404,1.86773,1.24867,0.4512,0.38972,0.40182,0.23017,1.58458,2.10467,1.28616,0.000765014,0.000765014,0.000765014
6,42.9535,1.50056,1.74009,1.22477,0.52543,0.47013,0.48378,0.26658,1.56675,1.67863,1.2802,0.000729018,0.000729018,0.000729018
7,49.08,1.49385,1.69653,1.23767,0.55861,0.48955,0.53415,0.30389,1.53635,1.58615,1.26862,0.000693022,0.000693022,0.000693022
8,55.9476,1.43949,1.62491,1.20477,0.6045,0.54423,0.57422,0.33257,1.52576,1.55891,1.27331,0.000657025,0.000657025,0.000657025
9,64.5547,1.41722,1.54169,1.21194,0.67216,0.54366,0.63082,0.37355,1.48903,1.46448,1.23502,0.000621029,0.000621029,0.000621029
10,70.4139,1.40127,1.46761,1.16691,0.66171,0.63308,0.64837,0.37824,1.50135,1.35824,1.24361,0.000585032,0.000585032,0.000585032
11,75.9897,1.37417,1.4293,1.17168,0.65477,0.60376,0.6409,0.37014,1.52129,1.35695,1.2834,0.000549036,0.000549036,0.000549036
12,81.5951,1.35751,1.3864,1.16201,0.66913,0.64042,0.67058,0.37337,1.53896,1.32007,1.2541,0.00051304,0.00051304,0.00051304
13,87.1351,1.33531,1.32522,1.14826,0.66683,0.60505,0.63898,0.36585,1.51237,1.29903,1.2441,0.000477043,0.000477043,0.000477043
14,92.6456,1.34423,1.31611,1.1583,0.6585,0.61766,0.66144,0.39463,1.47155,1.29612,1.21765,0.000441047,0.000441047,0.000441047
15,98.2543,1.33746,1.301,1.15359,0.69143,0.6393,0.68357,0.39412,1.51282,1.2838,1.23446,0.00040505,0.00040505,0.00040505
16,106.082,1.32509,1.41073,1.14347,0.66585,0.58241,0.62523,0.36422,1.51097,1.46449,1.24673,0.000369054,0.000369054,0.000369054
17,111.63,1.2938,1.28454,1.13085,0.7419,0.63697,0.69338,0.40458,1.48277,1.25008,1.24674,0.000333058,0.000333058,0.000333058
18,117.115,1.25268,1.23829,1.1139,0.68874,0.66902,0.70072,0.41192,1.45951,1.19872,1.24214,0.000297061,0.000297061,0.000297061
19,122.59,1.25071,1.18893,1.113,0.73965,0.65415,0.70514,0.41629,1.46974,1.19265,1.23268,0.000261065,0.000261065,0.000261065
20,128.067,1.24644,1.18029,1.10261,0.72854,0.65301,0.72002,0.42558,1.46898,1.18955,1.21887,0.000225068,0.000225068,0.000225068
21,133.495,1.22399,1.13041,1.09603,0.76595,0.67411,0.73605,0.43779,1.45029,1.1378,1.21527,0.000189072,0.000189072,0.000189072
22,138.941,1.21402,1.11258,1.07034,0.82611,0.64638,0.7383,0.4408,1.46527,1.12749,1.21783,0.000153076,0.000153076,0.000153076
23,144.397,1.18512,1.08333,1.07399,0.77835,0.67553,0.7461,0.44613,1.43833,1.10877,1.20319,0.000117079,0.000117079,0.000117079
24,149.873,1.18117,1.07186,1.07442,0.76154,0.68142,0.73159,0.4403,1.44892,1.11255,1.21432,8.10828e-05,8.10828e-05,8.10828e-05
25,155.288,1.18738,1.0673,1.07447,0.72589,0.71723,0.75167,0.45439,1.43441,1.08883,1.20395,4.50864e-05,4.50864e-05,4.50864e-05
