epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08513,1.38801,3.31219,1.48425,0.02002,0.9,0.26163,0.20682,0.67599,2.89242,0.92035,0,0,0
2,2.44508,1.48441,3.38419,1.5351,0.02002,0.9,0.26626,0.20532,0.67801,2.89421,0.92216,1.28753e-05,1.28753e-05,1.28753e-05
3,2.77084,1.29834,3.30122,1.47289,0.02001,0.9,0.30045,0.23016,0.68005,2.89427,0.92133,2.29212e-05,2.29212e-05,2.29212e-05
4,3.08171,1.25329,3.28683,1.38257,0.02002,0.9,0.2606,0.20698,0.68296,2.89424,0.92166,3.01376e-05,3.01376e-05,3.01376e-05
5,3.41874,1.24965,3.35836,1.46241,0.02055,0.9,0.27323,0.21484,0.65501,2.88628,0.90716,3.45246e-05,3.45246e-05,3.45246e-05
6,3.81671,1.33682,3.25355,1.42589,0.02067,0.9,0.29702,0.23644,0.65665,2.88598,0.90901,3.60822e-05,3.60822e-05,3.60822e-05
7,4.22116,1.476,3.33448,1.45955,0.01875,0.8,0.29433,0.2367,0.65288,2.88782,0.90404,3.48104e-05,3.48104e-05,3.48104e-05
8,4.61298,1.26129,3.28091,1.36338,0.01871,0.8,0.32406,0.26409,0.62236,2.88436,0.89759,3.07092e-05,3.07092e-05,3.07092e-05
9,5.02495,1.20224,3.25425,1.34659,0.0208,0.9,0.33172,0.2669,0.59921,2.8758,0.88864,2.37786e-05,2.37786e-05,2.37786e-05
10,5.45604,1.21637,3.19958,1.28249,0.02088,0.9,0.35187,0.27628,0.58617,2.87516,0.88523,1.40185e-05,1.40185e-05,1.40185e-05
