epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.05512,1.09176,3.97306,0.52968,0.94953,1.49725,0.92621,0.89788,0.90732,0.6679,0.84587,0.5,0.53459,0.35189,0.89824,3.52254,0.34233,0.59047,1.05758,0,0,0
2,1.38126,1.7027,2.63838,0.45519,1.15888,1.75714,0.92665,0.92857,0.90728,0.66819,0.84432,0.5,0.53446,0.34781,0.90028,3.57134,0.35005,0.5887,1.05752,1.9802e-05,1.9802e-05,1.9802e-05
3,1.70334,1.49324,1.53308,0.27455,1.14575,1.58338,0.91056,0.92857,0.90728,0.66817,0.84171,0.5,0.53446,0.35175,0.9022,3.58441,0.35426,0.58242,1.05475,3.9208e-05,3.9208e-05,3.9208e-05
4,1.99714,1.34752,4.42583,0.52112,1.12168,1.31192,0.90379,0.92857,0.90728,0.66818,0.8411,0.5,0.53446,0.35174,0.89865,3.58747,0.3566,0.58204,1.05415,5.8218e-05,5.8218e-05,5.8218e-05
5,2.276,1.24115,4.50216,0.38939,1.23278,1.30288,0.90047,0.92857,0.9073,0.6684,0.83929,0.5,0.53452,0.35179,0.89784,3.58517,0.35729,0.5804,1.05692,7.6832e-05,7.6832e-05,7.6832e-05
6,2.62192,0.90277,3.50469,0.27788,0.72927,1.1554,0.78597,0.85714,0.8507,0.66816,0.97203,0.57143,0.63446,0.34506,0.91991,3.61856,0.37049,0.6111,1.06186,9.505e-05,9.505e-05,9.505e-05
7,3.01899,1.09881,3.45261,0.2801,0.99392,1.2462,0.78434,0.85714,0.85096,0.64616,0.96979,0.57143,0.63492,0.32945,0.94772,3.69721,0.37588,0.64746,1.08138,0.000112872,0.000112872,0.000112872
8,3.39928,1.13828,3.26151,0.43429,1.29561,1.82017,0.76325,0.78571,0.8525,0.63316,1,0.61701,0.65225,0.30053,1.04229,3.93318,0.37569,0.74627,1.13329,0.000130298,0.000130298,0.000130298
9,3.73817,1.26579,4.83146,0.53064,1.73049,1.32315,0.76482,0.78571,0.89064,0.60976,0.76331,0.57143,0.55798,0.27367,1.07792,4.16637,0.37043,0.84547,1.18418,0.000147328,0.000147328,0.000147328
10,4.08012,1.27785,3.28775,0.3054,0.8375,1.41781,0.84424,0.77506,0.87658,0.57666,0.80302,0.58328,0.63094,0.26288,1.10859,4.41392,0.36846,0.94239,1.22412,0.000163962,0.000163962,0.000163962
11,4.41638,1.63402,3.54331,0.40781,1.13826,1.7435,0.80333,0.71429,0.74956,0.5395,0.72706,0.42857,0.41685,0.2035,1.16821,4.67585,0.37376,1.09069,1.28828,0.0001802,0.0001802,0.0001802
12,4.7639,0.89365,3.10414,0.3328,0.81972,1.11078,0.72461,0.71429,0.71217,0.48305,0.73257,0.42857,0.41791,0.20023,1.23875,4.7735,0.39167,1.13308,1.36098,0.000196042,0.000196042,0.000196042
13,5.12277,0.83679,1.73265,0.3497,0.5672,1.01829,0.77356,0.73305,0.80268,0.53651,0.87051,0.5,0.46949,0.23518,1.2125,4.88044,0.41394,1.11068,1.36537,0.000211488,0.000211488,0.000211488
14,5.56971,0.8244,1.21968,0.31892,0.61259,1.09373,0.81269,0.62128,0.75651,0.48242,0.67273,0.5,0.46444,0.23184,1.25381,5.05254,0.43156,1.13833,1.39108,0.000226538,0.000226538,0.000226538
15,5.92228,1.07888,2.49236,0.38967,0.73702,1.24465,0.65651,0.71429,0.70138,0.4485,0.74856,0.42569,0.45019,0.23224,1.29148,5.25097,0.44465,1.31431,1.40496,0.000241192,0.000241192,0.000241192
16,6.25765,0.79761,1.64996,0.28006,0.59214,1.04017,0.51209,0.64286,0.67014,0.42918,0.53307,0.5,0.41719,0.18103,1.33345,5.51079,0.45354,1.60465,1.438,0.00025545,0.00025545,0.00025545
17,6.85558,1.17452,2.29455,0.31754,0.70921,1.17429,0.54018,0.67227,0.64493,0.39221,0.60264,0.42857,0.41838,0.14526,1.45911,5.67579,0.45614,1.79176,1.54503,0.000269312,0.000269312,0.000269312
18,7.41458,0.82068,1.96611,0.24808,0.78044,1.20965,0.54018,0.67227,0.64493,0.39221,0.60264,0.42857,0.41838,0.14526,1.45911,5.67579,0.45614,1.79176,1.54503,0.000282778,0.000282778,0.000282778
19,8.86189,1.32594,4.39655,0.31906,1.12148,1.39286,0.7314,0.5,0.59567,0.3163,0.5175,0.35714,0.32331,0.0986,1.68029,5.79033,0.4602,1.95681,1.69834,0.000295848,0.000295848,0.000295848
20,9.58214,1.08653,2.15041,0.38455,0.94331,1.08283,0.7314,0.5,0.59567,0.3163,0.5175,0.35714,0.32331,0.0986,1.68029,5.79033,0.4602,1.95681,1.69834,0.000308522,0.000308522,0.000308522
21,9.95638,1.01732,2.49033,0.28331,0.70734,1.29932,0.72785,0.5,0.60807,0.32036,0.51825,0.35714,0.32458,0.10357,1.65912,5.77574,0.45555,1.93433,1.6828,0.0003208,0.0003208,0.0003208
22,10.3017,1.01347,2.91903,0.38194,0.9373,1.27057,0.72785,0.5,0.60807,0.32036,0.51825,0.35714,0.32458,0.10357,1.65912,5.77574,0.45555,1.93433,1.6828,0.000332682,0.000332682,0.000332682
23,10.6706,1.03412,1.55595,0.36425,0.62863,1.1148,0.80797,0.42857,0.5672,0.27411,0.53378,0.28571,0.23603,0.09096,1.90137,5.86446,0.46648,2.0217,1.81572,0.000344168,0.000344168,0.000344168
24,11.0382,0.8629,2.79189,0.35981,0.88948,1.10285,0.80797,0.42857,0.5672,0.27411,0.53378,0.28571,0.23603,0.09096,1.90137,5.86446,0.46648,2.0217,1.81572,0.000355258,0.000355258,0.000355258
25,11.42,1.09627,2.25996,0.36205,0.90162,1.1356,0.65365,0.5,0.55601,0.21328,0.49862,0.35714,0.27444,0.0952,2.08407,5.90277,0.49183,2.16658,1.90085,0.000365952,0.000365952,0.000365952
26,11.7749,1.11002,2.8629,0.28532,1.00011,1.26873,0.65365,0.5,0.55601,0.21328,0.49862,0.35714,0.27444,0.0952,2.08407,5.90277,0.49183,2.16658,1.90085,0.00037625,0.00037625,0.00037625
27,12.2547,1.12679,2.53917,0.33319,0.70839,1.18562,0.61834,0.5,0.57034,0.2079,0.41747,0.35714,0.24923,0.08629,2.1888,5.87778,0.5203,2.12153,1.94557,0.000386152,0.000386152,0.000386152
28,12.6183,1.35544,2.42177,0.35828,0.84116,1.32485,0.61834,0.5,0.57034,0.2079,0.41747,0.35714,0.24923,0.08629,2.1888,5.87778,0.5203,2.12153,1.94557,0.000395658,0.000395658,0.000395658
29,12.9876,1.06744,3.61887,0.3718,0.86072,1.13079,0.50439,0.57143,0.58929,0.21072,0.48155,0.28571,0.27526,0.07947,2.29828,6.13497,0.54904,2.06449,1.99752,0.000404768,0.000404768,0.000404768
30,13.3431,1.42591,3.0585,0.32876,1.16592,1.45481,0.50439,0.57143,0.58929,0.21072,0.48155,0.28571,0.27526,0.07947,2.29828,6.13497,0.54904,2.06449,1.99752,0.000413482,0.000413482,0.000413482
31,13.7063,1.10048,2.17004,0.3005,0.89636,1.17533,0.55976,0.63615,0.58487,0.2309,0.581,0.5,0.37357,0.07385,2.31739,6.27787,0.56315,1.9898,1.93221,0.0004218,0.0004218,0.0004218
32,14.0318,1.06043,2.1831,0.42568,0.95035,1.48138,0.55976,0.63615,0.58487,0.2309,0.581,0.5,0.37357,0.07385,2.31739,6.27787,0.56315,1.9898,1.93221,0.000429722,0.000429722,0.000429722
33,14.3768,1.11797,3.17036,0.286,0.92003,1.18815,0.9532,0.57143,0.66546,0.26421,0.6269,0.28571,0.28865,0.09842,2.34936,6.42179,0.55956,1.87866,1.92488,0.000437248,0.000437248,0.000437248
34,14.7072,0.82089,3.45711,0.28015,0.69061,0.96824,0.9532,0.57143,0.66546,0.26421,0.6269,0.28571,0.28865,0.09842,2.34936,6.42179,0.55956,1.87866,1.92488,0.000444378,0.000444378,0.000444378
35,15.2693,1.29606,2.58512,0.30055,0.89017,1.13492,0.64402,0.57143,0.60863,0.26996,0.38277,0.35457,0.26319,0.08854,2.40769,6.65391,0.55595,1.91571,1.96252,0.000451112,0.000451112,0.000451112
36,15.8543,1.10567,2.54908,0.34355,0.80806,1.14066,0.64402,0.57143,0.60863,0.26996,0.38277,0.35457,0.26319,0.08854,2.40769,6.65391,0.55595,1.91571,1.96252,0.00045745,0.00045745,0.00045745
37,16.2542,0.81821,1.89048,0.25341,0.67946,1.09182,0.83633,0.42857,0.5453,0.26059,0.28695,0.35714,0.25537,0.07734,2.45961,6.84335,0.55439,1.88035,1.99151,0.000463392,0.000463392,0.000463392
38,16.6181,0.85805,3.45983,0.29097,0.82056,1.07337,0.83633,0.42857,0.5453,0.26059,0.28695,0.35714,0.25537,0.07734,2.45961,6.84335,0.55439,1.88035,1.99151,0.000468938,0.000468938,0.000468938
39,17.1092,1.05293,3.10208,0.27236,0.66018,1.15316,0.43079,0.71429,0.52647,0.22829,0.83479,0.14286,0.19182,0.05812,2.55089,7.20565,0.57628,1.8083,2.05648,0.000474088,0.000474088,0.000474088
40,17.4382,1.0129,2.81967,0.34367,0.76415,1.05829,0.43079,0.71429,0.52647,0.22829,0.83479,0.14286,0.19182,0.05812,2.55089,7.20565,0.57628,1.8083,2.05648,0.000478842,0.000478842,0.000478842
41,17.7927,0.85459,2.54244,0.28796,0.71775,1.04034,0.45217,0.57143,0.45632,0.21202,0.84126,0.14286,0.1529,0.04035,2.57794,7.61707,0.60724,1.89597,2.14143,0.0004832,0.0004832,0.0004832
42,18.1167,1.10202,2.29802,0.32787,0.86176,1.17171,0.45217,0.57143,0.45632,0.21202,0.84126,0.14286,0.1529,0.04035,2.57794,7.61707,0.60724,1.89597,2.14143,0.000487162,0.000487162,0.000487162
43,18.4719,1.05018,2.61957,0.28521,0.76155,1.08839,0.33647,0.42857,0.35158,0.18181,0.75475,0.14286,0.16294,0.0527,2.60913,7.78646,0.65022,2.1587,2.13466,0.000490728,0.000490728,0.000490728
44,18.8298,0.90068,3.65207,0.25291,0.75578,1.19494,0.33647,0.42857,0.35158,0.18181,0.75475,0.14286,0.16294,0.0527,2.60913,7.78646,0.65022,2.1587,2.13466,0.000493898,0.000493898,0.000493898
45,19.188,0.71962,2.39438,0.27591,0.55646,0.95241,0.35631,0.42857,0.3886,0.20037,0.66586,0.14286,0.15469,0.05658,2.47577,7.7924,0.66124,2.30781,2.03822,0.000496672,0.000496672,0.000496672
46,19.5257,1.13905,4.59609,0.35825,1.24897,1.14288,0.35631,0.42857,0.3886,0.20037,0.66586,0.14286,0.15469,0.05658,2.47577,7.7924,0.66124,2.30781,2.03822,0.00049905,0.00049905,0.00049905
47,19.8852,0.85088,1.88824,0.36902,0.62823,0.9188,0.35498,0.42857,0.37385,0.20736,0.32994,0.07143,0.05295,0.03139,2.33407,8.05398,0.69082,2.67144,1.97752,0.000501032,0.000501032,0.000501032
48,20.2133,1.00032,1.97142,0.33801,0.72027,1.13503,0.35498,0.42857,0.37385,0.20736,0.32994,0.07143,0.05295,0.03139,2.33407,8.05398,0.69082,2.67144,1.97752,0.000502618,0.000502618,0.000502618
49,20.58,0.92605,2.32238,0.31248,0.58995,1.09247,0.28343,0.35714,0.32534,0.17102,0.31839,0.07143,0.05095,0.02736,2.34635,8.11199,0.69227,3.01117,2.00728,0.000503808,0.000503808,0.000503808
50,20.9045,0.77098,2.40483,0.32048,0.6118,1.05121,0.28343,0.35714,0.32534,0.17102,0.31839,0.07143,0.05095,0.02736,2.34635,8.11199,0.69227,3.01117,2.00728,0.000504602,0.000504602,0.000504602
51,21.2851,0.91779,2.12407,0.31993,0.56968,0.99637,0.69987,0.21429,0.30493,0.15471,0.28158,0.07143,0.0375,0.01666,2.2551,8.14208,0.68753,3.21529,2.07911,0.000505,0.000505,0.000505
52,21.7841,0.7372,2.79352,0.28849,0.7144,1.2004,0.69987,0.21429,0.30493,0.15471,0.28158,0.07143,0.0375,0.01666,2.2551,8.14208,0.68753,3.21529,2.07911,0.000505002,0.000505002,0.000505002
53,22.1298,0.99725,3.23052,0.35922,0.66081,0.97227,0.69987,0.21429,0.30493,0.15471,0.28158,0.07143,0.0375,0.01666,2.2551,8.14208,0.68753,3.21529,2.07911,0.000504608,0.000504608,0.000504608
54,22.7573,0.90281,2.2268,0.47447,0.65955,1.08891,0.40809,0.21429,0.26742,0.14072,0.29547,0.07143,0.03076,0.0123,2.24882,8.13387,0.71269,3.45567,2.07628,0.000503818,0.000503818,0.000503818
55,23.884,0.94015,3.44927,0.24167,0.69632,1.09177,0.40809,0.21429,0.26742,0.14072,0.29547,0.07143,0.03076,0.0123,2.24882,8.13387,0.71269,3.45567,2.07628,0.000502632,0.000502632,0.000502632
56,24.3152,0.87554,2.43318,0.2853,0.85704,1.08022,0.40809,0.21429,0.26742,0.14072,0.29547,0.07143,0.03076,0.0123,2.24882,8.13387,0.71269,3.45567,2.07628,0.00050105,0.00050105,0.00050105
57,24.6987,1.08209,4.11873,0.32915,0.76473,1.13456,0.13514,0.71429,0.30364,0.18297,0.43506,0.07143,0.05902,0.01296,2.26809,8.07683,0.71596,3.48092,2.06685,0.000499072,0.000499072,0.000499072
58,25.0647,0.85338,2.75702,0.33228,0.63883,0.96982,0.13514,0.71429,0.30364,0.18297,0.43506,0.07143,0.05902,0.01296,2.26809,8.07683,0.71596,3.48092,2.06685,0.000496698,0.000496698,0.000496698
59,25.4146,0.98462,2.46861,0.33166,0.70165,1.02418,0.13514,0.71429,0.30364,0.18297,0.43506,0.07143,0.05902,0.01296,2.26809,8.07683,0.71596,3.48092,2.06685,0.000493928,0.000493928,0.000493928
60,25.7802,0.9594,2.25681,0.32996,0.78581,1.16764,0.24272,0.21429,0.23845,0.15292,0.24857,0.07143,0.04385,0.00642,2.28238,7.96823,0.68615,3.39537,2.03477,0.000490762,0.000490762,0.000490762
61,26.1158,0.85615,2.10266,0.33658,0.69325,0.99695,0.24272,0.21429,0.23845,0.15292,0.24857,0.07143,0.04385,0.00642,2.28238,7.96823,0.68615,3.39537,2.03477,0.0004872,0.0004872,0.0004872
62,26.4524,0.73869,1.99569,0.25617,0.66872,0.95363,0.24272,0.21429,0.23845,0.15292,0.24857,0.07143,0.04385,0.00642,2.28238,7.96823,0.68615,3.39537,2.03477,0.000483242,0.000483242,0.000483242
63,26.827,0.55437,2.41643,0.3172,0.72885,1.04313,0.21967,0.21429,0.21523,0.13918,0.11146,0.14286,0.02853,0.00959,2.20184,8.02689,0.65637,3.33334,2.03802,0.000478888,0.000478888,0.000478888
64,27.1896,0.75383,2.78428,0.39279,0.62908,1.06863,0.21967,0.21429,0.21523,0.13918,0.11146,0.14286,0.02853,0.00959,2.20184,8.02689,0.65637,3.33334,2.03802,0.000474138,0.000474138,0.000474138
65,27.514,0.72707,2.19159,0.24916,0.5965,1.04503,0.21967,0.21429,0.21523,0.13918,0.11146,0.14286,0.02853,0.00959,2.20184,8.02689,0.65637,3.33334,2.03802,0.000468992,0.000468992,0.000468992
66,27.9789,0.95729,2.429,0.34383,0.62404,1.21553,0.26863,0.14286,0.19078,0.12789,0.02326,0.14286,0.0231,0.00781,2.20904,8.05086,0.62792,3.21187,2.0534,0.00046345,0.00046345,0.00046345
67,28.3053,1.25132,3.19069,0.30434,0.8946,1.34274,0.26863,0.14286,0.19078,0.12789,0.02326,0.14286,0.0231,0.00781,2.20904,8.05086,0.62792,3.21187,2.0534,0.000457512,0.000457512,0.000457512
68,28.6794,0.9024,1.88681,0.32406,0.63507,1.14645,0.26863,0.14286,0.19078,0.12789,0.02326,0.14286,0.0231,0.00781,2.20904,8.05086,0.62792,3.21187,2.0534,0.000451178,0.000451178,0.000451178
69,29.0808,1.06391,2.42914,0.31484,0.70701,1.18901,0.22396,0.21429,0.20557,0.11834,0.10344,0.07143,0.03457,0.01193,2.3315,8.07709,0.61217,3.11388,2.12684,0.000444448,0.000444448,0.000444448
70,29.4418,0.8311,2.17678,0.2688,0.77921,0.99818,0.22396,0.21429,0.20557,0.11834,0.10344,0.07143,0.03457,0.01193,2.3315,8.07709,0.61217,3.11388,2.12684,0.000437322,0.000437322,0.000437322
71,29.8191,0.87622,2.75884,0.30011,0.68429,1.05523,0.22396,0.21429,0.20557,0.11834,0.10344,0.07143,0.03457,0.01193,2.3315,8.07709,0.61217,3.11388,2.12684,0.0004298,0.0004298,0.0004298
72,30.3917,0.91688,2.48355,0.31134,0.74622,1.08513,0.23008,0.21429,0.21196,0.12325,0.21426,0.07143,0.04023,0.01915,2.53428,8.10187,0.62386,3.10791,2.30528,0.000421882,0.000421882,0.000421882
