epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.751,0.99791,9.59995,0.69302,0.84823,1.36163,0.95023,0.94396,0.98128,0.79721,0.35914,0.21065,0.10275,0.01489,0.8068,7.0367,0.52963,0.44991,1.17162,0.00333043,0.00333043,0.00333043
2,543.321,0.88867,7.16495,0.64412,0.62999,1.25963,0.94478,0.92405,0.97172,0.7653,0.85014,0.48031,0.5075,0.23907,0.88782,5.06572,0.40995,0.53871,1.25512,0.0065978,0.0065978,0.0065978
3,786.908,0.93864,6.47268,0.58337,0.6912,1.29076,0.9186,0.90506,0.96002,0.74675,0.74825,0.51204,0.49836,0.21072,0.88319,4.74373,0.29314,0.58956,1.25974,0.00979916,0.00979916,0.00979916
4,1061.02,0.97033,6.12623,0.50828,0.71303,1.3014,0.93164,0.92647,0.97267,0.76096,0.77419,0.53961,0.53998,0.28805,0.88264,4.31395,0.19099,0.53281,1.23902,0.009703,0.009703,0.009703
5,1352.77,0.92629,5.6181,0.45545,0.66551,1.26383,0.93186,0.93501,0.97301,0.751,0.77874,0.57984,0.60014,0.34261,0.89106,3.97244,0.17485,0.53552,1.26615,0.009604,0.009604,0.009604
6,1626.59,0.89496,5.23333,0.42178,0.6245,1.2404,0.95304,0.94664,0.98281,0.81177,0.77787,0.6288,0.62096,0.39259,0.75254,3.59461,0.12001,0.4305,1.13399,0.009505,0.009505,0.009505
7,1884.98,0.86477,5.02193,0.40031,0.60009,1.2234,0.95015,0.94494,0.9775,0.8095,0.81143,0.66102,0.68201,0.44441,0.7522,3.35604,0.11875,0.44826,1.13071,0.009406,0.009406,0.009406
8,2129.27,0.8422,4.82638,0.38485,0.57279,1.2049,0.95561,0.9531,0.98116,0.81788,0.82271,0.68268,0.69974,0.47116,0.72866,3.17886,0.0993,0.42308,1.12361,0.009307,0.009307,0.009307
9,2372.86,0.83167,4.71272,0.37649,0.56444,1.20038,0.95897,0.95315,0.98473,0.8278,0.80897,0.69995,0.70527,0.47263,0.70208,3.07631,0.10532,0.39477,1.09355,0.009208,0.009208,0.009208
10,2616.16,0.81338,4.56684,0.36512,0.55267,1.18604,0.95585,0.95922,0.98542,0.83287,0.80233,0.68102,0.67719,0.47502,0.69995,3.12493,0.08697,0.39254,1.09256,0.009109,0.009109,0.009109
11,2860.9,0.79921,4.43241,0.3558,0.53523,1.17535,0.96295,0.96062,0.98694,0.83928,0.81317,0.70702,0.70765,0.49416,0.687,2.97809,0.09571,0.3722,1.08313,0.00901,0.00901,0.00901
12,3103.32,0.79161,4.33522,0.35131,0.52434,1.17412,0.96557,0.96534,0.98787,0.84247,0.81946,0.7385,0.73926,0.53408,0.67272,2.70093,0.07726,0.36763,1.07406,0.008911,0.008911,0.008911
13,3346.09,0.77804,4.19459,0.3482,0.51757,1.16804,0.96457,0.96457,0.98721,0.84202,0.82408,0.72832,0.72325,0.52486,0.67127,2.70074,0.08159,0.36406,1.06924,0.008812,0.008812,0.008812
14,3675.52,0.7773,4.18938,0.33619,0.5103,1.16302,0.96588,0.95966,0.98687,0.84892,0.82843,0.74578,0.76052,0.55607,0.6664,2.58292,0.07421,0.35979,1.06031,0.008713,0.008713,0.008713
