epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81483,1.7247,3.40464,3.92492,1.80103,0.70635,0.63333,0.75169,0.48795,0.66894,0.53333,0.62766,0.44078,1.65108,2.67113,1.41923,1.37546,0,0,0
2,2.26001,1.55913,3.39008,2.63552,1.60277,0.70537,0.63333,0.75167,0.48877,0.66814,0.53333,0.6234,0.44084,1.63028,2.66186,1.41793,1.3705,1.07219e-06,1.07219e-06,1.07219e-06
3,2.63458,1.34344,3.08352,3.07547,1.53799,0.71273,0.62585,0.74335,0.47781,0.69236,0.6,0.61243,0.43845,1.61162,2.66196,1.41218,1.371,1.90876e-06,1.90876e-06,1.90876e-06
4,2.96597,1.18134,2.95185,3.1859,1.52751,0.72291,0.61648,0.75437,0.4711,0.70793,0.6,0.63249,0.43216,1.59538,2.65207,1.41626,1.36842,2.50971e-06,2.50971e-06,2.50971e-06
5,3.31917,1.33041,3.00633,3.21877,1.55512,0.72281,0.6034,0.7379,0.47124,0.71972,0.6,0.62049,0.42349,1.59134,2.64341,1.40675,1.36852,2.87504e-06,2.87504e-06,2.87504e-06
6,3.66451,1.16227,2.67914,2.69398,1.40791,0.72927,0.6,0.7469,0.47701,0.72927,0.6,0.62856,0.4282,1.59083,2.63884,1.39033,1.3694,3.00475e-06,3.00475e-06,3.00475e-06
7,4.96095,1.53116,3.07142,2.77083,1.53487,0.73993,0.6,0.74411,0.47459,0.73993,0.6,0.62721,0.42736,1.58656,2.63016,1.38228,1.36676,2.89884e-06,2.89884e-06,2.89884e-06
8,5.83966,1.0419,2.7552,2.4897,1.36303,0.75884,0.6,0.75791,0.4813,0.74068,0.58547,0.64101,0.43523,1.57613,2.62942,1.38343,1.366,2.55731e-06,2.55731e-06,2.55731e-06
9,6.28361,0.89379,2.42319,2.02758,1.17986,0.78787,0.59419,0.76061,0.47887,0.74141,0.57556,0.63266,0.42766,1.57467,2.62683,1.38734,1.36592,1.98016e-06,1.98016e-06,1.98016e-06
10,6.7187,1.10815,2.63698,2.78429,1.35732,0.78655,0.58333,0.78795,0.49709,0.72769,0.54772,0.65768,0.43533,1.58435,2.63638,1.39006,1.36758,1.16739e-06,1.16739e-06,1.16739e-06
