epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.450829,1.00578,1.95751,2.9577,1.27241,0.67672,0.63333,0.74483,0.48459,0.64355,0.53333,0.60539,0.44039,1.67083,2.67511,1.40972,1.38895,0,0,0
2,0.84172,1.28681,3.68186,2.74467,1.56209,0.67991,0.63333,0.74609,0.48479,0.66023,0.6,0.62004,0.43977,1.65398,2.67289,1.39801,1.38386,1.17822e-06,1.17822e-06,1.17822e-06
3,1.29028,1.25784,2.65174,3.27646,1.42171,0.681,0.63333,0.74456,0.49845,0.66128,0.6,0.61817,0.4394,1.65414,2.67071,1.38644,1.38346,2.33288e-06,2.33288e-06,2.33288e-06
4,1.64173,0.95751,2.56809,2.77456,1.18924,0.68738,0.63333,0.74557,0.50964,0.66655,0.6,0.61791,0.43968,1.64412,2.66785,1.38625,1.38523,3.46397e-06,3.46397e-06,3.46397e-06
5,2.10769,0.97419,2.47289,3.27795,1.31941,0.69873,0.63333,0.74422,0.50517,0.68747,0.61667,0.63266,0.44032,1.62823,2.66529,1.39325,1.3813,4.5715e-06,4.5715e-06,4.5715e-06
6,2.97088,1.04709,3.2719,2.31611,1.24854,0.7087,0.62819,0.77684,0.51779,0.68828,0.6,0.61472,0.43746,1.60709,2.6648,1.38872,1.37237,5.65548e-06,5.65548e-06,5.65548e-06
7,3.51007,1.23842,2.73701,3.3106,1.52387,0.72728,0.63097,0.79033,0.5201,0.69914,0.59763,0.62316,0.43883,1.61347,2.66595,1.38801,1.37649,6.71588e-06,6.71588e-06,6.71588e-06
8,4.01847,1.08297,2.92826,3.9468,1.41142,0.71781,0.61667,0.81443,0.53815,0.6247,0.53333,0.62975,0.45128,1.60428,2.6576,1.38783,1.37898,7.75273e-06,7.75273e-06,7.75273e-06
9,4.49022,1.11292,2.47273,2.60242,1.33429,0.71209,0.6,0.89443,0.60875,0.64182,0.6,0.82258,0.50311,1.60683,2.65869,1.38643,1.38099,8.76602e-06,8.76602e-06,8.76602e-06
10,5.03462,0.80103,2.18144,1.96976,1.13127,0.68377,0.61667,0.90823,0.60118,0.63767,0.59003,0.82269,0.50311,1.60308,2.65595,1.37474,1.37337,9.75574e-06,9.75574e-06,9.75574e-06
